word,freq
democratic,17
praise,17
murder,17
cry,17
deaths,17
congrats,17
russiansanctionsnow,17
enemies,17
facebook,17
sleep,17
air,17
countries,17
pretend,17
round,17
bias,17
leading,17
selfmade,17
muelleriscomingforyou,17
message,17
carry,17
pee,17
anyway,17
rifles,17
folks,17
iran,17
dumptrump,17
otherwise,17
remove,17
create,17
paranoid,17
awesome,17
losing,17
large,17
personality,17
colluding,17
neveragain,17
nations,17
miserable,17
agencies,17
none,17
turned,17
panel,17
moroninchief,17
moscow,17
disco,17
politicians,16
outside,16
djt,16
highest,16
hrc,16
immediately,16
moral,16
leaving,16
screwed,16
lots,16
compared,16
project,16
whose,16
jackass,16
pants,16
hilary,16
divided,16
skin,16
locked,16
guilt,16
proves,16
apparently,16
agent,16
yea,16
ability,16
found,16
size,16
cuz,16
loss,16
fakenews,16
lifetime,16
hows,16
among,16
likely,16
floor,16
pathological,16
television,16
sake,16
handed,16
served,16
given,16
unstable,16
influence,16
monster,16
arms,16
haters,16
hiding,16
hasnt,16
throw,16
drumpf,16
normal,16
troll,16
girl,16
traitors,16
carter,16
international,16
asshat,16
anybody,16
harm,16
towards,16
obamaappreciationday,16
address,15
queen,15
starting,15
wear,15
luck,15
respond,15
month,15
looked,15
holding,15
grateful,15
pure,15
handcuffs,15
affairs,15
suspended,15
interesting,15
filibuster,15
till,15
unqualified,15
bro,15
predator,15
stock,15
keeps,15
gold,15
yesterday,15
hatred,15
fail,15
choose,15
unhinged,15
fair,15
cheeto,15
lied,15
thousands,15
traitorous,15
bankruptcy,15
emails,15
illegally,15
plenty,15
parade,15
steal,15
committed,15
wipe,15
bankrupt,15
conversation,15
force,15
celebrated,15
police,15
promises,15
finger,15
bastard,15
lunatic,15
bigot,15
calls,15
eyes,15
sell,15
congratulations,15
illiterate,15
across,15
opportunity,15
constant,15
robert,15
cadetbonespurs,15
reflections,15
FALSE,15
hacked,15
yup,15
conspiracy,15
sentence,15
installed,15
billion,14
alive,14
throwing,14
scumbag,14
christ,14
stick,14
guys,14
mostly,14
strength,14
color,14
continuing,14
buddies,14
oath,14
dumbest,14
knowledge,14
policies,14
reagan,14
tool,14
meddle,14
offer,14
simply,14
interfered,14
funding,14
access,14
conman,14
greatness,14
daughter,14
trumpcrimefamily,14
sides,14
recognize,14
dnc,14
walk,14
honorable,14
claims,14
compassionate,14
chose,14
solution,14
psychopath,14
multiple,14
subject,14
promise,14
flag,14
duty,14
wondering,14
proven,14
lousy,14
upset,14
focused,14
disgraceful,14
video,14
opinions,14
mcdonalds,14
russiancollusion,14
acceptable,14
immigration,14
plural,14
imbecile,14
honestly,14
water,14
choice,13
closer,13
spoken,13
tock,13
reminder,13
pile,13
stopped,13
inside,13
twisted,13
alternative,13
adults,13
believes,13
dark,13
inability,13
ranked,13
clue,13
return,13
somehow,13
mourning,13
nervous,13
starts,13
showed,13
muellers,13
practice,13
democrat,13
hero,13
dollar,13
imposed,13
nonsense,13
billions,13
everywhere,13
credit,13
feelings,13
experience,13
silly,13
add,13
led,13
fan,13
meltdown,13
deflecting,13
sort,13
dummy,13
checks,13
china,13
placed,13
period,13
easier,13
candidates,13
utter,13
washingtons,13
husband,13
